sub_sys, event_name
filemap, mm_filemap_add_to_page_cache
filemap, mm_filemap_delete_from_page_cache
ftrace, blktrace
ftrace, bprint
ftrace, bputs
ftrace, branch
ftrace, context_switch
ftrace, funcgraph_entry
ftrace, funcgraph_exit
ftrace, function
ftrace, kernel_stack
ftrace, mmiotrace_map
ftrace, mmiotrace_rw
ftrace, print
ftrace, user_stack
ftrace, wakeup
gpio, gpio_direction
gpio, gpio_value
i2c, i2c_read
i2c, i2c_reply
i2c, i2c_result
i2c, i2c_write
i2c, smbus_read
i2c, smbus_reply
i2c, smbus_result
i2c, smbus_write
iommu, add_device_to_group
iommu, attach_device_to_domain
iommu, detach_device_from_domain
iommu, io_page_fault
iommu, map
iommu, remove_device_from_group
iommu, unmap
ipi, ipi_entry
ipi, ipi_exit
ipi, ipi_raise
irq, irq_handler_entry
irq, irq_handler_exit
irq, softirq_entry
irq, softirq_exit
irq, softirq_raise
jbd2, jbd2_checkpoint
jbd2, jbd2_checkpoint_stats
jbd2, jbd2_commit_flushing
jbd2, jbd2_commit_locking
jbd2, jbd2_commit_logging
jbd2, jbd2_drop_transaction
jbd2, jbd2_end_commit
jbd2, jbd2_handle_extend
jbd2, jbd2_handle_start
jbd2, jbd2_handle_stats
jbd2, jbd2_lock_buffer_stall
jbd2, jbd2_run_stats
jbd2, jbd2_start_commit
jbd2, jbd2_submit_inode_data
jbd2, jbd2_update_log_tail
jbd2, jbd2_write_superblock
kmem, kfree
kmem, kmalloc
kmem, kmalloc_node
kmem, kmem_cache_alloc
kmem, kmem_cache_alloc_node
kmem, kmem_cache_free
kmem, mm_page_alloc
kmem, mm_page_alloc_extfrag
kmem, mm_page_alloc_zone_locked
kmem, mm_page_free
kmem, mm_page_free_batched
kmem, mm_page_pcpu_drain
kvm, kvm_access_fault
kvm, kvm_ack_irq
kvm, kvm_age_hva
kvm, kvm_age_page
kvm, kvm_arm_clear_debug
kvm, kvm_arm_set_dreg32
kvm, kvm_arm_set_regset
kvm, kvm_arm_setup_debug
kvm, kvm_emulate_cp15_imp
kvm, kvm_entry
kvm, kvm_exit
kvm, kvm_fpu
kvm, kvm_guest_fault
kvm, kvm_halt_poll_ns
kvm, kvm_handle_sys_reg
kvm, kvm_hvc
kvm, kvm_hvc_arm64
kvm, kvm_irq_line
kvm, kvm_mmio
kvm, kvm_mmio_emulate
kvm, kvm_set_guest_debug
kvm, kvm_set_irq
kvm, kvm_set_spte_hva
kvm, kvm_set_way_flush
kvm, kvm_test_age_hva
kvm, kvm_timer_update_irq
kvm, kvm_toggle_cache
kvm, kvm_unmap_hva
kvm, kvm_unmap_hva_range
kvm, kvm_userspace_exit
kvm, kvm_vcpu_wakeup
kvm, kvm_wfx
kvm, kvm_wfx_arm64
kvm, trap_reg
kvm, vgic_update_irq_pending
libata, ata_eh_link_autopsy
libata, ata_eh_link_autopsy_qc
libata, ata_qc_complete_done
libata, ata_qc_complete_failed
libata, ata_qc_complete_internal
libata, ata_qc_issue
mac80211, api_beacon_loss
mac80211, api_chswitch_done
mac80211, api_connection_loss
mac80211, api_cqm_beacon_loss_notify
mac80211, api_cqm_rssi_notify
mac80211, api_enable_rssi_reports
mac80211, api_eosp
mac80211, api_gtk_rekey_notify
mac80211, api_radar_detected
mac80211, api_ready_on_channel
mac80211, api_remain_on_channel_expired
mac80211, api_restart_hw
mac80211, api_scan_completed
mac80211, api_sched_scan_results
mac80211, api_sched_scan_stopped
mac80211, api_sta_block_awake
mac80211, api_sta_set_buffered
mac80211, api_start_tx_ba_cb
mac80211, api_start_tx_ba_session
mac80211, api_stop_tx_ba_cb
mac80211, api_stop_tx_ba_session
mac80211, drv_add_chanctx
mac80211, drv_add_interface
mac80211, drv_allow_buffered_frames
mac80211, drv_ampdu_action
mac80211, drv_assign_vif_chanctx
mac80211, drv_bss_info_changed
mac80211, drv_cancel_hw_scan
mac80211, drv_cancel_remain_on_channel
mac80211, drv_change_chanctx
mac80211, drv_change_interface
mac80211, drv_channel_switch
mac80211, drv_channel_switch_beacon
mac80211, drv_conf_tx
mac80211, drv_config
mac80211, drv_config_iface_filter
mac80211, drv_configure_filter
mac80211, drv_event_callback
mac80211, drv_flush
mac80211, drv_get_antenna
mac80211, drv_get_et_sset_count
mac80211, drv_get_et_stats
mac80211, drv_get_et_strings
mac80211, drv_get_expected_throughput
mac80211, drv_get_key_seq
mac80211, drv_get_ringparam
mac80211, drv_get_stats
mac80211, drv_get_survey
mac80211, drv_get_tsf
mac80211, drv_get_txpower
mac80211, drv_hw_scan
mac80211, drv_ipv6_addr_change
mac80211, drv_join_ibss
mac80211, drv_leave_ibss
mac80211, drv_mgd_prepare_tx
mac80211, drv_mgd_protect_tdls_discover
mac80211, drv_offchannel_tx_cancel_wait
mac80211, drv_post_channel_switch
mac80211, drv_pre_channel_switch
mac80211, drv_prepare_multicast
mac80211, drv_reconfig_complete
mac80211, drv_release_buffered_frames
mac80211, drv_remain_on_channel
mac80211, drv_remove_chanctx
mac80211, drv_remove_interface
mac80211, drv_reset_tsf
mac80211, drv_resume
mac80211, drv_return_bool
mac80211, drv_return_int
mac80211, drv_return_u32
mac80211, drv_return_u64
mac80211, drv_return_void
mac80211, drv_sched_scan_start
mac80211, drv_sched_scan_stop
mac80211, drv_set_antenna
mac80211, drv_set_bitrate_mask
mac80211, drv_set_coverage_class
mac80211, drv_set_default_unicast_key
mac80211, drv_set_frag_threshold
mac80211, drv_set_key
mac80211, drv_set_rekey_data
mac80211, drv_set_ringparam
mac80211, drv_set_rts_threshold
mac80211, drv_set_tim
mac80211, drv_set_tsf
mac80211, drv_set_wakeup
mac80211, drv_sta_add
mac80211, drv_sta_notify
mac80211, drv_sta_pre_rcu_remove
mac80211, drv_sta_rate_tbl_update
mac80211, drv_sta_rc_update
mac80211, drv_sta_remove
mac80211, drv_sta_state
mac80211, drv_sta_statistics
mac80211, drv_start
mac80211, drv_start_ap
mac80211, drv_stop
mac80211, drv_stop_ap
mac80211, drv_suspend
mac80211, drv_sw_scan_complete
mac80211, drv_sw_scan_start
mac80211, drv_switch_vif_chanctx
mac80211, drv_tdls_cancel_channel_switch
mac80211, drv_tdls_channel_switch
mac80211, drv_tdls_recv_channel_switch
mac80211, drv_tx_frames_pending
mac80211, drv_tx_last_beacon
mac80211, drv_unassign_vif_chanctx
mac80211, drv_update_tkip_key
mac80211, drv_wake_tx_queue
mac80211, stop_queue
mac80211, wake_queue
migrate, mm_migrate_pages
migrate, mm_numa_migrate_ratelimit
module, module_free
module, module_get
module, module_load
module, module_put
module, module_request
napi, napi_poll
net, napi_gro_frags_entry
net, napi_gro_receive_entry
net, net_dev_queue
net, net_dev_start_xmit
net, net_dev_xmit
net, netif_receive_skb
net, netif_receive_skb_entry
net, netif_rx
net, netif_rx_entry
net, netif_rx_ni_entry
nfs, nfs_access_enter
nfs, nfs_access_exit
nfs, nfs_atomic_open_enter
nfs, nfs_atomic_open_exit
nfs, nfs_create_enter
nfs, nfs_create_exit
nfs, nfs_fsync_enter
nfs, nfs_fsync_exit
nfs, nfs_getattr_enter
nfs, nfs_getattr_exit
nfs, nfs_invalidate_mapping_enter
nfs, nfs_invalidate_mapping_exit
nfs, nfs_link_enter
nfs, nfs_link_exit
nfs, nfs_lookup_enter
nfs, nfs_lookup_exit
nfs, nfs_lookup_revalidate_enter
nfs, nfs_lookup_revalidate_exit
nfs, nfs_mkdir_enter
nfs, nfs_mkdir_exit
nfs, nfs_mknod_enter
nfs, nfs_mknod_exit
nfs, nfs_refresh_inode_enter
nfs, nfs_refresh_inode_exit
nfs, nfs_remove_enter
nfs, nfs_remove_exit
nfs, nfs_rename_enter
nfs, nfs_rename_exit
nfs, nfs_revalidate_inode_enter
nfs, nfs_revalidate_inode_exit
nfs, nfs_rmdir_enter
nfs, nfs_rmdir_exit
nfs, nfs_setattr_enter
nfs, nfs_setattr_exit
nfs, nfs_sillyrename_rename
nfs, nfs_sillyrename_unlink
nfs, nfs_symlink_enter
nfs, nfs_symlink_exit
nfs, nfs_unlink_enter
nfs, nfs_unlink_exit
nfs, nfs_writeback_inode_enter
nfs, nfs_writeback_inode_exit
nfs, nfs_writeback_page_enter
nfs, nfs_writeback_page_exit
nfs4, nfs4_access
nfs4, nfs4_cb_getattr
nfs4, nfs4_cb_layoutrecall_inode
nfs4, nfs4_close
nfs4, nfs4_commit
nfs4, nfs4_delegreturn
nfs4, nfs4_delegreturn_exit
nfs4, nfs4_fsinfo
nfs4, nfs4_get_acl
nfs4, nfs4_get_fs_locations
nfs4, nfs4_get_lock
nfs4, nfs4_getattr
nfs4, nfs4_lock_expired
nfs4, nfs4_lock_reclaim
nfs4, nfs4_lookup
nfs4, nfs4_lookup_root
nfs4, nfs4_map_gid_to_group
nfs4, nfs4_map_group_to_gid
nfs4, nfs4_map_name_to_uid
nfs4, nfs4_map_uid_to_name
nfs4, nfs4_mkdir
nfs4, nfs4_mknod
nfs4, nfs4_open_expired
nfs4, nfs4_open_file
nfs4, nfs4_open_reclaim
nfs4, nfs4_read
nfs4, nfs4_readdir
nfs4, nfs4_readlink
nfs4, nfs4_recall_delegation
nfs4, nfs4_reclaim_delegation
nfs4, nfs4_remove
nfs4, nfs4_rename
nfs4, nfs4_renew
nfs4, nfs4_renew_async
nfs4, nfs4_secinfo
nfs4, nfs4_set_acl
nfs4, nfs4_set_delegation
nfs4, nfs4_set_lock
nfs4, nfs4_setattr
nfs4, nfs4_setclientid
nfs4, nfs4_setclientid_confirm
nfs4, nfs4_symlink
nfs4, nfs4_unlock
nfs4, nfs4_write
nfsd, layout_commit_lookup_fail
nfsd, layout_get_lookup_fail
nfsd, layout_recall
nfsd, layout_recall_done
nfsd, layout_recall_fail
nfsd, layout_recall_release
nfsd, layout_return_lookup_fail
nfsd, layoutstate_alloc
nfsd, layoutstate_free
nfsd, layoutstate_unhash
oom, oom_score_adj_update
pagemap, mm_lru_activate
pagemap, mm_lru_insertion
power, clock_disable
power, clock_enable
power, clock_set_rate
power, cpu_frequency
power, cpu_idle
power, dev_pm_qos_add_request
power, dev_pm_qos_remove_request
power, dev_pm_qos_update_request
power, device_pm_callback_end
power, device_pm_callback_start
power, pm_qos_add_request
power, pm_qos_remove_request
power, pm_qos_update_flags
power, pm_qos_update_request
power, pm_qos_update_request_timeout
power, pm_qos_update_target
power, power_domain_target
power, pstate_sample
power, suspend_resume
power, wakeup_source_activate
power, wakeup_source_deactivate
printk, console
random, add_device_randomness
random, add_disk_randomness
random, add_input_randomness
random, credit_entropy_bits
random, debit_entropy
random, extract_entropy
random, extract_entropy_user
random, get_random_bytes
random, get_random_bytes_arch
random, mix_pool_bytes
random, mix_pool_bytes_nolock
random, push_to_pool
random, random_read
random, urandom_read
random, xfer_secondary_pool
ras, aer_event
ras, mc_event
raw_syscalls, sys_enter
raw_syscalls, sys_exit
rcu, rcu_utilization
regmap, regcache_drop_region
regmap, regcache_sync
regmap, regmap_async_complete_done
regmap, regmap_async_complete_start
regmap, regmap_async_io_complete
regmap, regmap_async_write_start
regmap, regmap_cache_bypass
regmap, regmap_cache_only
regmap, regmap_hw_read_done
regmap, regmap_hw_read_start
regmap, regmap_hw_write_done
regmap, regmap_hw_write_start
regmap, regmap_reg_read
regmap, regmap_reg_read_cache
regmap, regmap_reg_write
regulator, regulator_disable
regulator, regulator_disable_complete
regulator, regulator_enable
regulator, regulator_enable_complete
regulator, regulator_enable_delay
regulator, regulator_set_voltage
regulator, regulator_set_voltage_complete
rpm, rpm_idle
rpm, rpm_resume
rpm, rpm_return_int
rpm, rpm_suspend
sched, sched_kthread_stop
sched, sched_kthread_stop_ret
sched, sched_migrate_task
